M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
1.398005e+02	5.644913e+00	2.300000e-03	4.576617e+03	1.799526e+02	1.450000e-01	0
1.368000e+02	5.525977e+00	2.300000e-03	4.444549e+03	1.746504e+02	1.440000e-01	0
1.338061e+02	5.407239e+00	2.300000e-03	4.318928e+03	1.695967e+02	1.440000e-01	0
1.308220e+02	5.288822e+00	2.200000e-03	4.199754e+03	1.647814e+02	7.300000e-02	0
1.278509e+02	5.170855e+00	2.200000e-03	4.086811e+03	1.602111e+02	7.300000e-02	0
1.248962e+02	5.053444e+00	2.200000e-03	3.980026e+03	1.558742e+02	7.300000e-02	0
1.219612e+02	4.936732e+00	2.100000e-03	3.879471e+03	1.517770e+02	7.300000e-02	0
1.190491e+02	4.820827e+00	2.100000e-03	3.784930e+03	1.479193e+02	7.200000e-02	0
1.161633e+02	4.705866e+00	2.000000e-03	3.696546e+03	1.443010e+02	7.200000e-02	0
1.133070e+02	4.591956e+00	2.100000e-03	3.614247e+03	1.409236e+02	7.300000e-02	0
1.104838e+02	4.479229e+00	1.900000e-03	3.538107e+03	1.377913e+02	7.200000e-02	0
1.076967e+02	4.367800e+00	1.900000e-03	3.468124e+03	1.348978e+02	0.000000e+00	0
1.049492e+02	4.257795e+00	1.800000e-03	3.404372e+03	1.322664e+02	7.200000e-02	0
1.022445e+02	4.149342e+00	1.800000e-03	3.347067e+03	1.298962e+02	7.300000e-02	0
9.958597e+01	4.042545e+00	1.710000e-03	3.296355e+03	1.278047e+02	0.000000e+00	0
9.697696e+01	3.937546e+00	1.630000e-03	3.252453e+03	1.260078e+02	0.000000e+00	0
9.442083e+01	3.834460e+00	1.550000e-03	3.215651e+03	1.245180e+02	0.000000e+00	0
9.192101e+01	3.733408e+00	1.450000e-03	3.186383e+03	1.233659e+02	0.000000e+00	0
8.948099e+01	3.634525e+00	1.360000e-03	3.165011e+03	1.225839e+02	0.000000e+00	0
8.710439e+01	3.537941e+00	1.270000e-03	3.152188e+03	1.222105e+02	0.000000e+00	0
8.479500e+01	3.443798e+00	1.170000e-03	3.148566e+03	1.222972e+02	0.000000e+00	0
8.255679e+01	3.352243e+00	1.060000e-03	3.155014e+03	1.229170e+02	0.000000e+00	0
8.039404e+01	3.263437e+00	9.500000e-04	3.172618e+03	1.241411e+02	0.000000e+00	0
7.831139e+01	3.177558e+00	8.400000e-04	3.202755e+03	1.260769e+02	0.000000e+00	0
7.631398e+01	3.094810e+00	7.300000e-04	3.246947e+03	1.288666e+02	0.000000e+00	0
7.440760e+01	3.015425e+00	6.200000e-04	3.307295e+03	1.326781e+02	7.300000e-02	0
7.259889e+01	2.939684e+00	5.100000e-04	3.386261e+03	1.377504e+02	0.000000e+00	0
7.089557e+01	2.867927e+00	4.000000e-04	3.487033e+03	1.443532e+02	0.000000e+00	0
6.930682e+01	2.800582e+00	2.900000e-04	3.613595e+03	1.528834e+02	0.000000e+00	0
6.784367e+01	2.738203e+00	2.100000e-04	3.770948e+03	1.638154e+02	7.300000e-02	0
6.651963e+01	2.681519e+00	1.300000e-04	3.965320e+03	1.777617e+02	0.000000e+00	0
6.535141e+01	2.631516e+00	7.000000e-05	4.204825e+03	1.955133e+02	0.000000e+00	0
6.435991e+01	2.589553e+00	3.000000e-05	4.499390e+03	2.180066e+02	0.000000e+00	0
6.357145e+01	2.557529e+00	2.000000e-05	4.861546e+03	2.463438e+02	0.000000e+00	0
6.301926e+01	2.538110e+00	3.000000e-05	5.306291e+03	2.816791e+02	7.200000e-02	0
6.274506e+01	2.535002e+00	5.000000e-05	5.851156e+03	3.249378e+02	7.200000e-02	0
6.280030e+01	2.553177e+00	7.000000e-05	6.514542e+03	3.762747e+02	0.000000e+00	0
6.324611e+01	2.598794e+00	7.000000e-05	7.312170e+03	4.341183e+02	7.200000e-02	0
6.415000e+01	2.678284e+00	5.000000e-05	8.250850e+03	4.939203e+02	0.000000e+00	0
6.557663e+01	2.795960e+00	6.000000e-05	9.317759e+03	5.473071e+02	0.000000e+00	0
6.757054e+01	2.950231e+00	8.000000e-05	1.047015e+04	5.832490e+02	8.000000e-02	0
7.013271e+01	3.130433e+00	3.800000e-04	1.163146e+04	5.925275e+02	1.500000e-01	0
